Epoch 000 | Iter 000100 | Step 0000101 | G-Cycle: 0.4277 | G-L1: 0.3875 | G-Adv: 0.4750 | Gc-Adv: 1.4192 | G-Sum: 2.3018 | D: 3.0861 | Dc: 2.8998
Epoch 000 | Iter 000200 | Step 0000201 | G-Cycle: 0.3558 | G-L1: 0.3227 | G-Adv: 1.3086 | Gc-Adv: 1.4555 | G-Sum: 3.1034 | D: 2.8083 | Dc: 2.8325
Epoch 000 | Iter 000300 | Step 0000301 | G-Cycle: 0.2548 | G-L1: 0.2585 | G-Adv: 1.7761 | Gc-Adv: 1.3868 | G-Sum: 3.4196 | D: 2.7786 | Dc: 2.7875
Epoch 000 | Iter 000400 | Step 0000401 | G-Cycle: 0.2479 | G-L1: 0.1855 | G-Adv: 1.4274 | Gc-Adv: 1.4352 | G-Sum: 3.0793 | D: 2.7937 | Dc: 2.7729
Epoch 000 | Iter 000500 | Step 0000501 | G-Cycle: 0.2746 | G-L1: 0.2046 | G-Adv: 1.2857 | Gc-Adv: 1.3950 | G-Sum: 2.9203 | D: 2.7821 | Dc: 2.7959
Epoch 000 | Iter 000600 | Step 0000601 | G-Cycle: 0.2004 | G-L1: 0.1718 | G-Adv: 1.3410 | Gc-Adv: 1.4633 | G-Sum: 2.9905 | D: 2.7734 | Dc: 2.7260
Epoch 000 | Iter 000700 | Step 0000701 | G-Cycle: 0.2330 | G-L1: 0.2178 | G-Adv: 2.5871 | Gc-Adv: 1.4234 | G-Sum: 4.2359 | D: 3.2431 | Dc: 2.7479
Epoch 000 | Iter 000800 | Step 0000801 | G-Cycle: 0.4397 | G-L1: 0.2953 | G-Adv: 1.3606 | Gc-Adv: 1.4118 | G-Sum: 3.1399 | D: 2.7758 | Dc: 2.7707
Epoch 000 | Iter 000000 | Step 0000001 | G-Cycle: 1.1726 | G-L1: 0.9007 | G-Adv: 54.9713 | Gc-Adv: 1.6295 | G-Sum: 57.6374 | D: 2.9407 | Dc: 3.1986
Epoch 000 | Iter 000100 | Step 0000101 | G-Cycle: 0.3831 | G-L1: 0.4185 | G-Adv: 2.1023 | Gc-Adv: 1.4531 | G-Sum: 3.9562 | D: 3.1810 | Dc: 2.7743
Epoch 000 | Iter 000200 | Step 0000201 | G-Cycle: 0.2958 | G-L1: 0.2834 | G-Adv: 1.2956 | Gc-Adv: 1.3983 | G-Sum: 2.9835 | D: 2.7582 | Dc: 2.8106
Epoch 000 | Iter 000300 | Step 0000301 | G-Cycle: 0.2922 | G-L1: 0.2479 | G-Adv: 1.4605 | Gc-Adv: 1.4003 | G-Sum: 3.1308 | D: 2.7771 | Dc: 2.7873
Epoch 000 | Iter 000400 | Step 0000401 | G-Cycle: 0.2267 | G-L1: 0.2342 | G-Adv: 0.8232 | Gc-Adv: 1.4484 | G-Sum: 2.5020 | D: 2.8589 | Dc: 2.7643
Epoch 000 | Iter 000500 | Step 0000501 | G-Cycle: 0.2677 | G-L1: 0.2048 | G-Adv: 1.4375 | Gc-Adv: 1.4267 | G-Sum: 3.1004 | D: 2.7670 | Dc: 2.8344
Epoch 000 | Iter 000600 | Step 0000601 | G-Cycle: 0.2575 | G-L1: 0.2028 | G-Adv: 1.3996 | Gc-Adv: 1.4626 | G-Sum: 3.0924 | D: 2.7968 | Dc: 2.7255
Epoch 000 | Iter 000700 | Step 0000701 | G-Cycle: 0.2150 | G-L1: 0.1771 | G-Adv: 1.6265 | Gc-Adv: 1.6192 | G-Sum: 3.4418 | D: 2.7538 | Dc: 2.7693
Epoch 000 | Iter 000800 | Step 0000801 | G-Cycle: 0.2384 | G-L1: 0.2290 | G-Adv: 1.3148 | Gc-Adv: 1.5896 | G-Sum: 3.1381 | D: 2.8183 | Dc: 2.8099
Epoch 000 | Iter 000900 | Step 0000901 | G-Cycle: 0.2259 | G-L1: 0.2120 | G-Adv: 1.4821 | Gc-Adv: 1.4807 | G-Sum: 3.1817 | D: 2.8730 | Dc: 2.7651
Epoch 000 | Iter 001000 | Step 0001001 | G-Cycle: 0.3126 | G-L1: 0.2699 | G-Adv: 1.4573 | Gc-Adv: 1.5658 | G-Sum: 3.3143 | D: 2.7706 | Dc: 2.6891
Epoch 000 | Iter 001100 | Step 0001101 | G-Cycle: 0.2740 | G-L1: 0.2535 | G-Adv: 1.5949 | Gc-Adv: 1.5122 | G-Sum: 3.3709 | D: 2.8511 | Dc: 2.8030
Epoch 000 | Iter 001200 | Step 0001201 | G-Cycle: 0.3081 | G-L1: 0.1978 | G-Adv: 1.1895 | Gc-Adv: 1.6489 | G-Sum: 3.0913 | D: 2.9005 | Dc: 2.7012
Epoch 000 | Iter 001300 | Step 0001301 | G-Cycle: 0.2561 | G-L1: 0.2636 | G-Adv: 1.3478 | Gc-Adv: 1.6491 | G-Sum: 3.2567 | D: 2.7629 | Dc: 2.7528
Epoch 000 | Iter 001400 | Step 0001401 | G-Cycle: 0.1870 | G-L1: 0.1567 | G-Adv: 0.9284 | Gc-Adv: 1.6883 | G-Sum: 2.7885 | D: 2.8439 | Dc: 2.6909
Epoch 000 | Iter 001500 | Step 0001501 | G-Cycle: 0.2136 | G-L1: 0.2076 | G-Adv: 2.0456 | Gc-Adv: 1.5563 | G-Sum: 3.8126 | D: 2.9094 | Dc: 2.6815
